Fecha,Hora,Temp Ext (°C),Temp Máx,Temp Mín,Humedad Ext (%),Punto Rocío,Vel Vent,Dir Vent,Ráfaga Vent,Vel Máx,Dir Máx,Sens Term Wind,Índice Calor,THW,THSW,Presión (hPa),Lluvia (mm),Int Lluvia,Rad Solar,Energía Solar,Rad Solar Máx,UV,Dosis UV,UV Máx,Grados Día C,Grados Día F,Temp Int,Humedad Int,ET,Muestras Vent,Tx Vent,Recepción ISS,Intervalo Arc
20/09/26,0:30,20.2,21.6,20.2,82,17.0,0.0,---,0.00,0.0,---,20.2,20.9,20.9,---,1000.7,0.00,0.0,---,---,---,---,---,---,0.000,0.038,25.9,60,0.00,639,5,100.0,30
20/09/26,1:00,20.3,20.3,20.0,82,17.1,0.0,NNW,0.00,3.2,NNW,20.3,21.1,21.1,---,1000.8,0.00,0.0,---,---,---,---,---,---,0.000,0.041,25.9,60,0.00,639,5,100.0,30
20/09/26,1:30,20.0,20.4,20.0,83,17.0,0.0,---,0.00,0.0,---,20.0,20.7,20.7,---,1000.8,0.00,0.0,---,---,---,---,---,---,0.000,0.035,25.9,60,0.00,639,5,100.0,30
20/09/26,2:00,19.8,20.0,19.8,84,17.0,0.0,---,0.00,0.0,---,19.8,20.5,20.5,---,1001.0,0.00,0.0,---,---,---,---,---,---,0.000,0.030,25.9,60,0.00,640,5,100.0,30
20/09/26,2:30,19.1,19.8,19.1,87,16.9,0.0,WNW,0.00,1.6,WNW,19.1,19.8,19.8,---,1000.5,0.00,0.0,---,---,---,---,---,---,0.000,0.016,25.9,60,0.00,640,5,100.0,30
20/09/26,3:00,18.5,19.1,18.5,88,16.5,0.0,---,0.00,0.0,---,18.5,19.1,19.1,---,999.9,0.00,0.0,---,---,---,---,---,---,0.000,0.003,25.8,60,0.00,640,5,100.0,30
20/09/26,3:30,18.1,18.5,18.1,89,16.2,0.0,WNW,0.00,3.2,WNW,18.1,18.6,18.6,---,999.3,0.00,0.0,---,---,---,---,---,---,0.006,0.000,25.8,60,0.00,640,5,100.0,30
20/09/26,4:00,17.9,18.1,17.9,90,16.3,0.0,---,0.00,0.0,---,17.9,18.5,18.5,---,998.7,0.00,0.0,---,---,---,---,---,---,0.008,0.000,25.8,60,0.00,640,5,100.0,30
20/09/26,4:30,17.8,17.9,17.8,90,16.1,0.0,---,0.00,0.0,---,17.8,18.3,18.3,---,998.0,0.00,0.0,---,---,---,---,---,---,0.012,0.000,25.7,60,0.00,640,5,100.0,30
20/09/26,5:00,17.6,17.8,17.6,91,16.1,0.0,WNW,0.00,1.6,WNW,17.6,18.1,18.1,---,997.3,0.00,0.0,---,---,---,---,---,---,0.015,0.000,25.7,60,0.00,639,5,100.0,30
20/09/26,5:30,17.6,17.7,17.6,91,16.1,0.0,WNW,0.00,3.2,WNW,17.6,18.1,18.1,---,997.2,0.00,0.0,---,---,---,---,---,---,0.016,0.000,25.6,60,0.00,640,5,100.0,30
20/09/26,6:00,17.2,17.6,17.2,91,15.7,0.0,WNW,0.00,3.2,WNW,17.2,17.6,17.6,---,997.6,0.00,0.0,---,---,---,---,---,---,0.024,0.000,25.6,60,0.00,639,5,100.0,30
